X                       ,Y                       ,T   
3.240000000000000102e-01,3.599999999999999728e-02,3.447461999999999875e+02
3.420000000000000262e-01,3.599999999999999728e-02,3.447495000000000118e+02
3.599999999999999867e-01,3.599999999999999728e-02,3.447522000000000162e+02
3.780000000000000027e-01,3.599999999999999728e-02,3.447545000000000073e+02
3.960000000000000187e-01,3.599999999999999728e-02,3.447563000000000102e+02
4.139999999999999791e-01,3.599999999999999728e-02,3.447576999999999998e+02
4.319999999999999951e-01,3.599999999999999728e-02,3.447586000000000013e+02
4.500000000000000111e-01,3.599999999999999728e-02,3.447590000000000146e+02
4.680000000000000271e-01,3.599999999999999728e-02,3.447590000000000146e+02
4.859999999999999876e-01,3.599999999999999728e-02,3.447586000000000013e+02
5.040000000000000036e-01,3.599999999999999728e-02,3.447576999999999998e+02
5.220000000000000195e-01,3.599999999999999728e-02,3.447563000000000102e+02
5.400000000000000355e-01,3.599999999999999728e-02,3.447545000000000073e+02
5.580000000000000515e-01,3.599999999999999728e-02,3.447522000000000162e+02
5.759999999999999565e-01,3.599999999999999728e-02,3.447495000000000118e+02
5.939999999999999725e-01,3.599999999999999728e-02,3.447461999999999875e+02
6.119999999999999885e-01,3.599999999999999728e-02,3.447423999999999751e+02
6.300000000000000044e-01,3.599999999999999728e-02,3.447379999999999995e+02
6.480000000000000204e-01,3.599999999999999728e-02,3.447330999999999790e+02
6.660000000000000364e-01,3.599999999999999728e-02,3.447275999999999954e+02
6.840000000000000524e-01,3.599999999999999728e-02,3.447214999999999918e+02
7.019999999999999574e-01,3.599999999999999728e-02,3.447148000000000252e+02
7.199999999999999734e-01,3.599999999999999728e-02,3.447074000000000069e+02
7.379999999999999893e-01,3.599999999999999728e-02,3.446992999999999938e+02
7.560000000000000053e-01,3.599999999999999728e-02,3.446904999999999859e+02
7.740000000000000213e-01,3.599999999999999728e-02,3.446809000000000083e+02
7.920000000000000373e-01,3.599999999999999728e-02,3.446707000000000107e+02
8.100000000000000533e-01,3.599999999999999728e-02,3.446596000000000117e+02
8.279999999999999583e-01,3.599999999999999728e-02,3.446478999999999928e+02
8.459999999999999742e-01,3.599999999999999728e-02,3.446354000000000042e+02
8.639999999999999902e-01,3.599999999999999728e-02,3.446220999999999890e+02
8.820000000000000062e-01,3.599999999999999728e-02,3.446082000000000107e+02
9.000000000000000222e-01,3.599999999999999728e-02,3.445937000000000126e+02
1.799999999999999864e-02,4.200000000000000261e-02,3.412862999999999829e+02
3.599999999999999728e-02,4.200000000000000261e-02,3.412988000000000284e+02
5.399999999999999939e-02,4.200000000000000261e-02,3.413107999999999720e+02
7.199999999999999456e-02,4.200000000000000261e-02,3.413222999999999843e+02
8.999999999999999667e-02,4.200000000000000261e-02,3.413331999999999766e+02
1.079999999999999988e-01,4.200000000000000261e-02,3.413435000000000059e+02
1.260000000000000009e-01,4.200000000000000261e-02,3.413532999999999902e+02
1.439999999999999891e-01,4.200000000000000261e-02,3.413625000000000114e+02
1.620000000000000051e-01,4.200000000000000261e-02,3.413711000000000126e+02
1.799999999999999933e-01,4.200000000000000261e-02,3.413790999999999940e+02
1.980000000000000093e-01,4.200000000000000261e-02,3.413865000000000123e+02
2.159999999999999976e-01,4.200000000000000261e-02,3.413933000000000106e+02
2.340000000000000135e-01,4.200000000000000261e-02,3.413996000000000208e+02
2.520000000000000018e-01,4.200000000000000261e-02,3.414053000000000111e+02
2.700000000000000178e-01,4.200000000000000261e-02,3.414105000000000132e+02
2.879999999999999782e-01,4.200000000000000261e-02,3.414152000000000271e+02
3.059999999999999942e-01,4.200000000000000261e-02,3.414193000000000211e+02
3.240000000000000102e-01,4.200000000000000261e-02,3.414230000000000018e+02
3.420000000000000262e-01,4.200000000000000261e-02,3.414261999999999944e+02
3.599999999999999867e-01,4.200000000000000261e-02,3.414288999999999987e+02
3.780000000000000027e-01,4.200000000000000261e-02,3.414311000000000149e+02
3.960000000000000187e-01,4.200000000000000261e-02,3.414329000000000178e+02
4.139999999999999791e-01,4.200000000000000261e-02,3.414341999999999757e+02
4.319999999999999951e-01,4.200000000000000261e-02,3.414350999999999772e+02
4.500000000000000111e-01,4.200000000000000261e-02,3.414354999999999905e+02
4.680000000000000271e-01,4.200000000000000261e-02,3.414354999999999905e+02
4.859999999999999876e-01,4.200000000000000261e-02,3.414350999999999772e+02
5.040000000000000036e-01,4.200000000000000261e-02,3.414341999999999757e+02
5.220000000000000195e-01,4.200000000000000261e-02,3.414329000000000178e+02
5.400000000000000355e-01,4.200000000000000261e-02,3.414311000000000149e+02
5.580000000000000515e-01,4.200000000000000261e-02,3.414288999999999987e+02
5.759999999999999565e-01,4.200000000000000261e-02,3.414261999999999944e+02
5.939999999999999725e-01,4.200000000000000261e-02,3.414230000000000018e+02
6.119999999999999885e-01,4.200000000000000261e-02,3.414193000000000211e+02
6.300000000000000044e-01,4.200000000000000261e-02,3.414152000000000271e+02
6.480000000000000204e-01,4.200000000000000261e-02,3.414105000000000132e+02
6.660000000000000364e-01,4.200000000000000261e-02,3.414053000000000111e+02
6.840000000000000524e-01,4.200000000000000261e-02,3.413996000000000208e+02
7.019999999999999574e-01,4.200000000000000261e-02,3.413933000000000106e+02
7.199999999999999734e-01,4.200000000000000261e-02,3.413865000000000123e+02
7.379999999999999893e-01,4.200000000000000261e-02,3.413790999999999940e+02
7.560000000000000053e-01,4.200000000000000261e-02,3.413711000000000126e+02
7.740000000000000213e-01,4.200000000000000261e-02,3.413625000000000114e+02
7.920000000000000373e-01,4.200000000000000261e-02,3.413532999999999902e+02
8.100000000000000533e-01,4.200000000000000261e-02,3.413435000000000059e+02
8.279999999999999583e-01,4.200000000000000261e-02,3.413331999999999766e+02
8.459999999999999742e-01,4.200000000000000261e-02,3.413222999999999843e+02
8.639999999999999902e-01,4.200000000000000261e-02,3.413107999999999720e+02
